"Sub-Workflow ID","Parent ID","Name","Legacy ID","Job Capability","Status","User Goal","UI Entry Point","Primary API Routes","Key Services","Feature Flags"
"WF-02k","PWF-02","Configure Board Automation","-","N/A","GREEN","User enables/disables auto-creation of next period board when current board completes","/dashboard/boards (create/edit modal)","POST /api/boards, PATCH /api/boards/[id]","board.service.ts","None"
"WF-02l","PWF-02","Auto-Create Next Period Board","-","N/A","GREEN","System automatically creates next period board when period ends (daily cron checks periodEnd dates)","None (Inngest cron)","BoardService.createNextPeriodBoard(), auto-create-period-boards Inngest","board.service.ts","None"
"WF-02m","PWF-02","Copy Tasks to Next Period","-","N/A","GREEN","System copies all tasks from completed board to new period (empty - no requests/attachments)","None (system triggered)","BoardService.spawnTaskInstancesForNextPeriod()","board.service.ts","None"
"WF-02n","PWF-02","Manage Board Table Columns","-","N/A","GREEN","User shows, hides, or reorders columns in boards list AND task list within expanded boards (gear icons)","/dashboard/boards","GET /api/boards/column-config, PATCH /api/boards/column-config","Organization.features (boardColumns, boardTaskColumns)","None"
"WF-03a","PWF-03","Create Generic Job","WF-06","Core","GREEN","User creates a standard job for tracking requests","/dashboard/jobs","POST /api/task-instances","task-instance.service.ts","None"
"WF-03b","PWF-03","Create Table Job","WF-09","Table","YELLOW","User creates a table-type job with schema definition (enables Table capability)","/dashboard/jobs","POST /api/task-instances, PATCH /api/task-lineages/[id]/schema","task-instance.service.ts, task-lineage.service.ts","None"
"WF-03c","PWF-03","Create Reconciliation Job","WF-12","Reconciliation","GREEN","User creates a reconciliation job (enables Reconciliation capability). V1 supports Excel/CSV, PDF, and image files.","/dashboard/jobs","POST /api/task-instances, POST /api/task-instances/[id]/reconciliations","task-instance.service.ts, reconciliation-processor.service.ts","None"
"WF-03d","PWF-03","Import / Edit Table Data","WF-10","Table","GREEN","User imports CSV data, edits cells, signs off dataset","/dashboard/jobs/[id]","POST /api/task-instances/[id]/table/import, PATCH /api/task-instances/[id]/table/cell, POST /api/task-instances/[id]/table/signoff","table-task.service.ts","None"
"WF-03e","PWF-03","Compare Periods / Variance","WF-11","Table","GREEN","User compares current vs prior period data","/dashboard/jobs/[id]","GET /api/task-instances/[id]/table/compare","table-task.service.ts","None"
"WF-03f","PWF-03","Archive / Restore Job","-","Core","GREEN","User archives completed jobs or restores them","/dashboard/jobs","PATCH /api/task-instances/[id]","task-instance.service.ts","None"
"WF-03g","PWF-03","Delete Job","-","Core","GREEN","User permanently removes a job","/dashboard/jobs","DELETE /api/task-instances/[id]","task-instance.service.ts","None"
"WF-03h","PWF-03","AI Process Anchored Reconciliation (V1)","-","Reconciliation","GREEN","AI compares anchor (source of truth) against 1+ supporting documents. V1: Supports PDF/image signal extraction, provides confidence score (0-100), key findings, suggested next steps. Explainability-first approach.","/dashboard/jobs/[id]","POST /api/task-instances/[id]/reconciliations, GET /api/task-instances/[id]/reconciliations/[id]/export","reconciliation-processor.service.ts, attachment-extraction.service.ts","None"
"WF-03i","PWF-03","Save Recurring Reconciliation Template","-","Reconciliation","GREEN","User saves completed reconciliation as reusable template. Template stores anchor role, supporting roles, default intent, and prior AI explanation for next period.","/dashboard/jobs/[id]","POST /api/task-instances/[id]/reconciliations/[id]/save-template","ReconciliationTemplate model","None"
"WF-04a","PWF-04","Manage Job Stakeholders","-","Core","GREEN","User assigns external contacts as stakeholders","/dashboard/jobs/[id]","POST /api/task-instances/[id]/stakeholders","task-instance.service.ts","None"
"WF-04b","PWF-04","Manage Job Collaborators","-","Core","GREEN","User adds internal team members to a job","/dashboard/jobs/[id]","POST /api/task-instances/[id]/collaborators","task-instance.service.ts","None"
"WF-04c","PWF-04","Assign / Change Job Owner","-","Core","GREEN","User transfers job ownership","/dashboard/jobs/[id]","PATCH /api/task-instances/[id]","task-instance.service.ts","None"
"WF-04d","PWF-04","Set / Manage Job Deadlines","-","Core","GREEN","User sets or updates job due dates","/dashboard/jobs/[id]","PATCH /api/task-instances/[id]","task-instance.service.ts","None"
"WF-04e","PWF-04","Manage Job Attachments","-","Core","REMOVED","REMOVED: Functionality covered by Evidence Collection (WF-06a). Use collection workflow for file management.","-","-","-","None"
"WF-04f","PWF-04","Manage Job Notes","-","Core","GREEN","User adds internal notes to a job","/dashboard/jobs/[id]","PATCH /api/task-instances/[id]","task-instance.service.ts","None"
"WF-04g","PWF-04","Job Activity & Comments","-","Core","GREEN","User views activity log and adds comments","/dashboard/jobs/[id]","GET /api/task-instances/[id]/timeline, POST /api/task-instances/[id]/comments","task-instance.service.ts","None"
"WF-04h","PWF-04","Job Status & Lifecycle","-","Core","GREEN","User changes job status","/dashboard/jobs/[id]","PATCH /api/task-instances/[id]","task-instance.service.ts","None"
"WF-05a","PWF-05","Send Standard Request","WF-07","Request","GREEN","User sends request emails to existing job stakeholders with AI-drafted content","/dashboard/jobs/[id]","POST /api/task-instances/[id]/request/draft, POST /api/quests/[id]/execute","ai-email-generation.service.ts, quest.service.ts, email-sending.service.ts","None"
"WF-05b","PWF-05","Send Data Personalization Request","-","Request","GREEN","User uploads CSV/Excel with recipients, creates personalized emails with merge fields","/dashboard/jobs/[id]","POST /api/task-instances/[id]/request/dataset/upload, POST /api/task-instances/[id]/request/dataset/draft, POST /api/task-instances/[id]/request/dataset/send","personalization-data.service.ts, ai-email-generation.service.ts","None"
"WF-05c","PWF-05","Configure Request Reminders","WF-07","Request","GREEN","User sets up automatic reminder schedules","/dashboard/jobs/[id]","Part of request draft","reminder-template.service.ts","None"
"WF-05d","PWF-05","Cancel / Resend Requests","-","Request","REMOVED","REMOVED: Not a necessary feature. Cancel reminders exists via WF-05c. Resend not needed.","-","-","-","None"
"WF-05e","PWF-05","Track Request Status","WF-08","Request","GREEN","User monitors response status and risk levels","/dashboard/requests","GET /api/requests/detail/[id], GET /api/requests/detail/[id]/messages, GET /api/requests/detail/[id]/reminders","risk-computation.service.ts, reminder-state.service.ts","None"
"WF-05f","PWF-05","Manually Override Request Risk","-","Request","GREEN","User manually adjusts risk classification via dropdown in request detail","/dashboard/requests","PUT /api/requests/detail/[id]/risk","risk-computation.service.ts","None"
"WF-05g","PWF-05","Email Open Tracking (Automatic)","-","Request","GREEN","System automatically tracks email opens via tracking pixel. Not user-controlled.","None (tracking pixel in sent emails)","POST /api/tracking/[token]","tracking-pixel.service.ts","None"
"WF-05h","PWF-05","Reply Review","WF-14","Request","GREEN","User reviews replies with AI assistance","/dashboard/review/[messageId]","GET /api/review/[messageId], POST /api/review/analyze","ai-classification.service.ts","None"
"WF-05i","PWF-05","AI Auto-Draft Request Email","-","Request","GREEN","AI generates initial email draft from job context","/dashboard/jobs/[id]","POST /api/task-instances/[id]/request/draft","ai-email-generation.service.ts","None"
"WF-05j","PWF-05","AI Auto-Draft Reminder Email","-","Request","GREEN","AI generates varied reminder emails based on reminder number","/dashboard/jobs/[id], /dashboard/requests","POST /api/requests/detail/[id]/reminder-draft","ai-email-generation.service.ts","None"
"WF-05k","PWF-05","AI Auto-Draft Reply","-","Request","GREEN","AI generates reply draft based on inbound message context","/dashboard/review/[messageId]","POST /api/review/draft-reply","ai-email-generation.service.ts","None"
"WF-05l","PWF-05","AI Analyze Inbound Email","-","Request","GREEN","AI analyzes reply body text AND attachment content for intent, findings, urgency","/dashboard/review/[messageId]","POST /api/review/analyze","ai-classification.service.ts, attachment-extraction.service.ts","None"
"WF-05m","PWF-05","AI Extract Attachment Content","-","Request","GREEN","AI extracts text from PDF/Excel/CSV for analysis","/dashboard/review/[messageId]","Used by classify-message Inngest","attachment-extraction.service.ts","None"
"WF-05n","PWF-05","AI Determine Completion Status","-","Request","GREEN","AI determines if submission is complete based on attachment content","/dashboard/review/[messageId]","Used by classify-message Inngest","completion-detection.service.ts","None"
"WF-05o","PWF-05","Review Draft Requests","-","Request","GREEN","User reviews drafts copied from prior period in job header","/dashboard/jobs/[id]","GET /api/task-instances/[id]/requests?includeDrafts=true","request-draft-copy.service.ts","None"
"WF-05p","PWF-05","Edit Draft Request","-","Request","GREEN","User modifies draft subject, body, or recipient","/dashboard/jobs/[id]","POST /api/task-instances/[id]/requests (action: update)","request-draft-copy.service.ts","None"
"WF-05q","PWF-05","Send Draft Request","-","Request","GREEN","User sends a draft request after review","/dashboard/jobs/[id]","POST /api/task-instances/[id]/requests (action: send)","request-draft-copy.service.ts, email-sending.service.ts","None"
"WF-05r","PWF-05","Delete Draft Request","-","Request","GREEN","User removes an unwanted draft request","/dashboard/jobs/[id]","DELETE /api/task-instances/[id]/requests","request-draft-copy.service.ts","None"
"WF-06a","PWF-06","Upload Evidence","WF-13","Evidence","GREEN","User manually uploads evidence files","/dashboard/jobs/[id]","POST /api/task-instances/[id]/collection","evidence.service.ts, storage.service.ts","None"
"WF-06b","PWF-06","Review / Approve Evidence","WF-13","Evidence","GREEN","User reviews and approves collected evidence","/dashboard/jobs/[id]","PATCH /api/task-instances/[id]/collection/[itemId]","evidence.service.ts","None"
"WF-06c","PWF-06","Bulk Evidence Actions","WF-13","Evidence","GREEN","User performs bulk approve/reject/delete","/dashboard/jobs/[id]","POST /api/task-instances/[id]/collection/bulk","evidence.service.ts","None"
"WF-06d","PWF-06","Export Evidence","WF-13","Evidence","GREEN","User exports all collected evidence","/dashboard/jobs/[id]","GET /api/task-instances/[id]/collection/export","evidence.service.ts","None"
"WF-06e","PWF-06","AI Analyze Evidence Content","-","Evidence","GREEN","AI extracts and analyzes content from evidence files (PDF/Excel)","/dashboard/jobs/[id]","Used by classify-message and /api/review/analyze","attachment-extraction.service.ts","None"
"WF-07a","PWF-07","Create / Edit Contact","WF-15","N/A","GREEN","User creates or updates contact information","/dashboard/contacts","POST /api/entities, PATCH /api/entities/[id]","entity.service.ts","None"
"WF-07b","PWF-07","Import Contacts","WF-15","N/A","GREEN","User bulk imports contacts from CSV","/dashboard/contacts","POST /api/entities/import","csv-import.service.ts, unified-import.service.ts","None"
"WF-07c","PWF-07","Group Contacts","WF-15","N/A","GREEN","User organizes contacts into groups","/dashboard/contacts","POST /api/groups","group.service.ts","None"
"WF-07d","PWF-07","Manage Contact Types / Labels","-","N/A","GREEN","User defines and manages contact classifications","/dashboard/contacts","GET/POST /api/contact-types","entity.service.ts","None"
"WF-07e","PWF-07","Link Contacts to Jobs","-","N/A","GREEN","User associates contacts with specific jobs","/dashboard/jobs/[id]","POST /api/task-instances/[id]/stakeholders","task-instance.service.ts","None"
"WF-07f","PWF-07","Search / Select Contacts for Requests","-","N/A","GREEN","User searches and selects recipients","/dashboard/jobs/[id]","GET /api/recipients/search","entity.service.ts, domain-detection.service.ts","None"
"WF-08a","PWF-08","Connect Email Account - Gmail","WF-20","N/A","GREEN","User connects Gmail via OAuth","/dashboard/settings/team","GET /api/oauth/gmail, GET /api/oauth/gmail/callback","email-connection.service.ts, gmail-watch.service.ts","None"
"WF-08b","PWF-08","Connect Email Account - Microsoft","WF-20","N/A","GREEN","User connects Microsoft 365 via OAuth","/dashboard/settings/team","GET /api/oauth/microsoft, GET /api/oauth/microsoft/callback","email-connection.service.ts","None"
"WF-08c","PWF-08","Manage Email Senders","-","N/A","GREEN","User configures which accounts can send","/dashboard/settings/team","GET /api/email-accounts, PATCH /api/email-accounts/[id]","email-connection.service.ts","None"
"WF-09a","PWF-09","Email Sync - Gmail/Microsoft","WF-16","N/A","GREEN","Background sync fetches new emails from connected accounts","None (Inngest)","None","email-sync.service.ts, email-connection.service.ts, email-reception.service.ts","None"
"WF-09b","PWF-09","Message Classification","WF-17","N/A","GREEN","Inbound messages are classified and request completion assessed","None (Inngest)","None","ai-classification.service.ts, risk-computation.service.ts, reminder-state.service.ts","None"
"WF-09c","PWF-09","Reminder Sending","WF-18","N/A","GREEN","Due reminders are sent automatically for non-responsive requests","None (Inngest)","None","reminder-runner.service.ts, reminder-state.service.ts, email-sending.service.ts","None"
"WF-09d","PWF-09","Email Queue Processing","WF-19","N/A","GREEN","Rate-limited emails are queued and sent when limits allow","None (Inngest)","None","email-queue.service.ts, email-sending.service.ts","None"
"WF-09e","PWF-09","AI Content-Based Risk Scoring","-","N/A","GREEN","AI computes risk based on submission content (not just time)","/api/requests/detail/[id]/risk","PUT /api/requests/detail/[id]/risk","risk-computation.service.ts","None"
"WF-09f","PWF-09","AI First-Pass Document Review","-","N/A","GREEN","AI reviews all inbound content (email + attachments) before human","None (Inngest)","classify-message Inngest function","attachment-extraction.service.ts, completion-detection.service.ts, ai-classification.service.ts","None"
